code_chapter,category_code,L2code,category_desc
Infectious and parasitic diseases,1,1.1,Tuberculosis
Infectious and parasitic diseases,2,1.1,Septicemia (except in labor)
Infectious and parasitic diseases,3,1.1,Bacterial infection; unspecified site
Infectious and parasitic diseases,4,1.2,Mycoses
Infectious and parasitic diseases,5,1.3,HIV infection
Infectious and parasitic diseases,6,1.3,Hepatitis
Infectious and parasitic diseases,7,1.3,Viral infection
Infectious and parasitic diseases,8,1.4,Other infections; including parasitic
Infectious and parasitic diseases,9,1.1,Sexually transmitted infections (not HIV or hepatitis)
Infectious and parasitic diseases,10,1.5,Immunizations and screening for infectious disease
Neoplasms,11,2.11,Cancer of head and neck
Neoplasms,12,2.2,Cancer of esophagus
Neoplasms,13,2.2,Cancer of stomach
Neoplasms,14,2.1,Cancer of colon
Neoplasms,15,2.1,Cancer of rectum and anus
Neoplasms,16,2.2,Cancer of liver and intrahepatic bile duct
Neoplasms,17,2.2,Cancer of pancreas
Neoplasms,18,2.2,Cancer of other GI organs; peritoneum
Neoplasms,19,2.3,Cancer of bronchus; lung
Neoplasms,20,2.11,Cancer; other respiratory and intrathoracic
Neoplasms,21,2.11,Cancer of bone and connective tissue
Neoplasms,22,2.4,Melanomas of skin
Neoplasms,23,2.4,Other non-epithelial cancer of skin
Neoplasms,24,2.5,Cancer of breast
Neoplasms,25,2.6,Cancer of uterus
Neoplasms,26,2.6,Cancer of cervix
Neoplasms,27,2.7,Cancer of ovary
Neoplasms,28,2.7,Cancer of other female genital organs
Neoplasms,29,2.8,Cancer of prostate
Neoplasms,30,2.8,Cancer of testis
Neoplasms,31,2.8,Cancer of other male genital organs
Neoplasms,32,2.9,Cancer of bladder
Neoplasms,33,2.9,Cancer of kidney and renal pelvis
Neoplasms,34,2.9,Cancer of other urinary organs
Neoplasms,35,2.11,Cancer of brain and nervous system
Neoplasms,36,2.11,Cancer of thyroid
Neoplasms,37,2.10,Hodgkin`s disease
Neoplasms,38,2.10,Non-Hodgkin`s lymphoma
Neoplasms,39,2.10,Leukemias
Neoplasms,40,2.10,Multiple myeloma
Neoplasms,41,2.11,Cancer; other and unspecified primary
Neoplasms,42,2.12,Secondary malignancies
Neoplasms,43,2.13,Malignant neoplasm without specification of site
Neoplasms,44,2.14,Neoplasms of unspecified nature or uncertain behavior
Neoplasms,45,2.15,Maintenance chemotherapy; radiotherapy
Neoplasms,46,2.16,Benign neoplasm of uterus
Neoplasms,47,2.16,Other and unspecified benign neoplasm
Endocrine; nutritional; and metabolic diseases and immunity disorders,48,3.1,Thyroid disorders
Endocrine; nutritional; and metabolic diseases and immunity disorders,49,3.2,Diabetes mellitus without complication
