category_code,code,vocabulary_id
4,1120,ICD9CM
4,1100,ICD9CM
4,1101,ICD9CM
4,1102,ICD9CM
4,1103,ICD9CM
4,1104,ICD9CM
4,1105,ICD9CM
4,1106,ICD9CM
4,1108,ICD9CM
4,1109,ICD9CM
4,1110,ICD9CM
4,1111,ICD9CM
4,1112,ICD9CM
4,1113,ICD9CM
4,1118,ICD9CM
4,1119,ICD9CM
4,1121,ICD9CM
4,1122,ICD9CM
4,1123,ICD9CM
4,1125,ICD9CM
4,11282,ICD9CM
4,11284,ICD9CM
4,11285,ICD9CM
4,11289,ICD9CM
4,1129,ICD9CM
4,1141,ICD9CM
4,1143,ICD9CM
4,1149,ICD9CM
4,11500,ICD9CM
4,11509,ICD9CM
4,11510,ICD9CM
4,11519,ICD9CM
4,11590,ICD9CM
4,11599,ICD9CM
4,1160,ICD9CM
4,1161,ICD9CM
4,1162,ICD9CM
4,1170,ICD9CM
4,1171,ICD9CM
4,1172,ICD9CM
4,1173,ICD9CM
4,1174,ICD9CM
4,1175,ICD9CM
4,1176,ICD9CM
4,1177,ICD9CM
4,1178,ICD9CM
4,1179,ICD9CM
4,118,ICD9CM
8,080,ICD9CM
8,0810,ICD9CM
8,0811,ICD9CM
8,0812,ICD9CM
8,0819,ICD9CM
8,0820,ICD9CM
8,0821,ICD9CM
8,0822,ICD9CM
8,0823,ICD9CM
8,08240,ICD9CM
8,08241,ICD9CM
8,08249,ICD9CM
8,0828,ICD9CM
8,0829,ICD9CM
8,0831,ICD9CM
8,0832,ICD9CM
8,0838,ICD9CM
8,0839,ICD9CM
8,0840,ICD9CM
8,0841,ICD9CM
8,0842,ICD9CM
8,0843,ICD9CM
8,0844,ICD9CM
8,0845,ICD9CM
8,0846,ICD9CM
8,0847,ICD9CM
8,0848,ICD9CM
8,0849,ICD9CM
8,0850,ICD9CM
8,0851,ICD9CM
8,0852,ICD9CM
8,0853,ICD9CM
8,0854,ICD9CM
8,0855,ICD9CM
8,0859,ICD9CM
8,0860,ICD9CM
8,0861,ICD9CM
8,0862,ICD9CM
8,0863,ICD9CM
8,0864,ICD9CM
8,0865,ICD9CM
8,0869,ICD9CM
8,0870,ICD9CM
8,0871,ICD9CM
8,0879,ICD9CM
8,0880,ICD9CM
8,0888,ICD9CM
8,08881,ICD9CM
8,08882,ICD9CM
8,08889,ICD9CM
8,0889,ICD9CM
8,1000,ICD9CM
8,10089,ICD9CM
8,1009,ICD9CM
8,101,ICD9CM
8,1020,ICD9CM
8,1021,ICD9CM
8,1022,ICD9CM
8,1023,ICD9CM
8,1024,ICD9CM
8,1025,ICD9CM
8,1026,ICD9CM
8,1027,ICD9CM
8,1028,ICD9CM
8,1029,ICD9CM
8,1030,ICD9CM
8,1031,ICD9CM
8,1032,ICD9CM
8,1033,ICD9CM
8,1039,ICD9CM
8,1040,ICD9CM
8,1048,ICD9CM
8,1049,ICD9CM
8,1200,ICD9CM
8,1201,ICD9CM
8,1202,ICD9CM
8,1203,ICD9CM
8,1208,ICD9CM
8,1209,ICD9CM
8,1210,ICD9CM
8,1211,ICD9CM
8,1212,ICD9CM
8,1213,ICD9CM
8,1214,ICD9CM
8,1215,ICD9CM
8,1216,ICD9CM
8,1218,ICD9CM
8,1219,ICD9CM
8,1220,ICD9CM
8,1221,ICD9CM
8,1222,ICD9CM
8,1223,ICD9CM
8,1224,ICD9CM
8,1225,ICD9CM
8,1226,ICD9CM
8,1227,ICD9CM
8,1228,ICD9CM
8,1229,ICD9CM
8,1230,ICD9CM
8,1231,ICD9CM
8,1232,ICD9CM
8,1233,ICD9CM
8,1234,ICD9CM
8,1235,ICD9CM
8,1236,ICD9CM
8,1238,ICD9CM
8,1239,ICD9CM
8,124,ICD9CM
8,1250,ICD9CM
8,1251,ICD9CM
8,1252,ICD9CM
8,1253,ICD9CM
8,1254,ICD9CM
8,1255,ICD9CM
8,1256,ICD9CM
8,1257,ICD9CM
8,1259,ICD9CM
8,1260,ICD9CM
8,1261,ICD9CM
8,1262,ICD9CM
8,1263,ICD9CM
8,1268,ICD9CM
8,1269,ICD9CM
8,1270,ICD9CM
8,1271,ICD9CM
8,1272,ICD9CM
8,1273,ICD9CM
8,1274,ICD9CM
8,1275,ICD9CM
8,1276,ICD9CM
8,1277,ICD9CM
8,1278,ICD9CM
8,1279,ICD9CM
8,1280,ICD9CM
8,1281,ICD9CM
8,1288,ICD9CM
8,1289,ICD9CM
8,129,ICD9CM
8,1305,ICD9CM
8,1307,ICD9CM
8,1308,ICD9CM
8,1309,ICD9CM
8,13100,ICD9CM
8,13101,ICD9CM
8,13102,ICD9CM
8,13103,ICD9CM
8,13109,ICD9CM
8,1318,ICD9CM
8,1319,ICD9CM
8,1320,ICD9CM
8,1321,ICD9CM
8,1322,ICD9CM
8,1323,ICD9CM
8,1329,ICD9CM
8,1330,ICD9CM
8,1338,ICD9CM
