code_chapter,category_code,category_desc
Operations on the nervous system,1,Incision and excision of CNS
Operations on the endocrine system,10,"Thyroidectomy, partial or complete"
Operations on the urinary system,100,Endoscopy and endoscopic biopsy of the urinary tract
Operations on the urinary system,101,"Transurethral excision, drainage, or removal urinary obstruction"
Operations on the urinary system,102,Ureteral catheterization
Operations on the urinary system,103,Nephrotomy and nephrostomy
Operations on the urinary system,104,"Nephrectomy, partial or complete"
Operations on the urinary system,105,Kidney transplant
Operations on the urinary system,106,Genitourinary incontinence procedures
Operations on the urinary system,107,"Extracorporeal lithotripsy, urinary"
Operations on the urinary system,108,Indwelling catheter
Operations on the urinary system,109,Procedures on the urethra
Operations on the endocrine system,11,Diagnostic endocrine procedures
Operations on the urinary system,110,Other diagnostic procedures of urinary tract
Operations on the urinary system,111,Other non-OR therapeutic procedures of urinary tract
Operations on the urinary system,112,Other OR therapeutic procedures of urinary tract
Operations on the male genital organs,113,Transurethral resection of prostate (TURP)
Operations on the male genital organs,114,Open prostatectomy
Operations on the male genital organs,115,Circumcision
Operations on the male genital organs,116,"Diagnostic procedures, male genital"
Operations on the male genital organs,117,"Other non-OR therapeutic procedures, male genital"
Operations on the male genital organs,118,"Other OR therapeutic procedures, male genital"
Operations on the female genital organs,119,"Oophorectomy, unilateral and bilateral"
Operations on the endocrine system,12,Other therapeutic endocrine procedures
Operations on the female genital organs,120,Other operations on ovary
Operations on the female genital organs,121,Ligation of fallopian tubes
Obstetrical procedures,122,Removal of ectopic pregnancy
Operations on the female genital organs,123,Other operations on fallopian tubes
Operations on the female genital organs,124,"Hysterectomy, abdominal and vaginal"
Operations on the female genital organs,125,Other excision of cervix and uterus
Operations on the female genital organs,126,Abortion (termination of pregnancy)
Operations on the female genital organs,127,"Dilatation and curettage (D&C), aspiration after delivery or abortion"
Operations on the female genital organs,128,Diagnostic dilatation and curettage (D&C)
Operations on the female genital organs,129,"Repair of cystocele and rectocele, obliteration of vaginal vault"
Operations on the eye,13,Corneal transplant
Operations on the female genital organs,130,"Other diagnostic procedures, female organs"
Operations on the female genital organs,131,"Other non-OR therapeutic procedures, female organs"
Operations on the female genital organs,132,"Other OR therapeutic procedures, female organs"
Obstetrical procedures,133,NA
Obstetrical procedures,134,Cesarean section
Obstetrical procedures,135,"Forceps, vacuum, and breech delivery"
Obstetrical procedures,136,NA
Obstetrical procedures,137,Other procedures to assist delivery
Obstetrical procedures,138,Diagnostic amniocentesis
Obstetrical procedures,139,Fetal monitoring
Operations on the eye,14,Glaucoma procedures
Obstetrical procedures,141,Other therapeutic obstetrical procedures including antepartum and postpartum care
Operations on the musculoskeletal system,142,Partial excision bone
Operations on the musculoskeletal system,144,"Treatment, facial fracture or dislocation"
Operations on the musculoskeletal system,145,"Treatment, fracture or dislocation of radius and ulna"
Operations on the musculoskeletal system,146,"Treatment, fracture or dislocation of hip and femur"
Operations on the musculoskeletal system,147,"Treatment, fracture or dislocation of lower extremity (other than hip or femur)"
Operations on the musculoskeletal system,148,Other fracture and dislocation procedure
Operations on the musculoskeletal system,149,Arthroscopy
Operations on the eye,15,Lens and cataract procedures
Operations on the musculoskeletal system,150,"Division of joint capsule, ligament or cartilage"
Operations on the musculoskeletal system,152,Arthroplasty knee
Operations on the musculoskeletal system,153,"Hip replacement, total and partial"
