category_code,code,vocabulary_id
1,0121,ICD9PCS
1,0122,ICD9PCS
1,0123,ICD9PCS
1,0124,ICD9PCS
1,0125,ICD9PCS
1,0131,ICD9PCS
1,0101,ICD9PCS
1,0109,ICD9PCS
1,0126,ICD9PCS
1,0127,ICD9PCS
1,0128,ICD9PCS
1,0132,ICD9PCS
1,0139,ICD9PCS
1,0141,ICD9PCS
1,0142,ICD9PCS
1,0151,ICD9PCS
1,0152,ICD9PCS
1,0153,ICD9PCS
1,0159,ICD9PCS
2,0231,ICD9PCS
2,0232,ICD9PCS
2,0233,ICD9PCS
2,0234,ICD9PCS
2,0235,ICD9PCS
2,0239,ICD9PCS
2,0242,ICD9PCS
2,0243,ICD9PCS
3,805,ICD9PCS
3,8050,ICD9PCS
3,8051,ICD9PCS
3,8059,ICD9PCS
3,0302,ICD9PCS
3,0309,ICD9PCS
3,8459,ICD9PCS
3,8460,ICD9PCS
3,8461,ICD9PCS
3,8462,ICD9PCS
3,8463,ICD9PCS
3,8464,ICD9PCS
3,8465,ICD9PCS
3,8466,ICD9PCS
3,8467,ICD9PCS
3,8468,ICD9PCS
3,8469,ICD9PCS
3,8480,ICD9PCS
3,8481,ICD9PCS
3,8482,ICD9PCS
3,8483,ICD9PCS
3,8484,ICD9PCS
3,8485,ICD9PCS
4,0331,ICD9PCS
5,038,ICD9PCS
5,0390,ICD9PCS
5,0391,ICD9PCS
5,0392,ICD9PCS
5,0393,ICD9PCS
5,0394,ICD9PCS
6,0443,ICD9PCS
6,0444,ICD9PCS
6,0449,ICD9PCS
7,0111,ICD9PCS
7,0112,ICD9PCS
7,0113,ICD9PCS
7,0114,ICD9PCS
7,0115,ICD9PCS
7,0118,ICD9PCS
7,0119,ICD9PCS
7,0332,ICD9PCS
7,0339,ICD9PCS
7,0411,ICD9PCS
7,0412,ICD9PCS
7,0419,ICD9PCS
7,0511,ICD9PCS
7,0519,ICD9PCS
8,0102,ICD9PCS
8,0241,ICD9PCS
8,0295,ICD9PCS
8,0321,ICD9PCS
8,0395,ICD9PCS
8,0396,ICD9PCS
8,0480,ICD9PCS
8,0481,ICD9PCS
8,0489,ICD9PCS
8,0531,ICD9PCS
8,0532,ICD9PCS
8,0539,ICD9PCS
9,0120,ICD9PCS
9,0129,ICD9PCS
9,016,ICD9PCS
9,0201,ICD9PCS
9,0202,ICD9PCS
9,0203,ICD9PCS
9,0204,ICD9PCS
9,0205,ICD9PCS
9,0206,ICD9PCS
9,0207,ICD9PCS
9,0211,ICD9PCS
9,0212,ICD9PCS
9,0213,ICD9PCS
9,0214,ICD9PCS
9,022,ICD9PCS
9,0221,ICD9PCS
9,0222,ICD9PCS
9,0291,ICD9PCS
9,0292,ICD9PCS
9,0293,ICD9PCS
9,0294,ICD9PCS
9,0296,ICD9PCS
9,0299,ICD9PCS
9,0301,ICD9PCS
9,031,ICD9PCS
9,0329,ICD9PCS
9,034,ICD9PCS
9,0351,ICD9PCS
9,0352,ICD9PCS
9,0353,ICD9PCS
9,0359,ICD9PCS
9,036,ICD9PCS
9,0371,ICD9PCS
9,0372,ICD9PCS
9,0379,ICD9PCS
9,0397,ICD9PCS
9,0398,ICD9PCS
9,0399,ICD9PCS
9,0401,ICD9PCS
9,0402,ICD9PCS
9,0403,ICD9PCS
9,0404,ICD9PCS
9,0405,ICD9PCS
9,0406,ICD9PCS
9,0407,ICD9PCS
9,042,ICD9PCS
9,043,ICD9PCS
9,0441,ICD9PCS
9,0442,ICD9PCS
9,045,ICD9PCS
9,046,ICD9PCS
9,0471,ICD9PCS
9,0472,ICD9PCS
9,0473,ICD9PCS
9,0474,ICD9PCS
9,0475,ICD9PCS
9,0476,ICD9PCS
9,0479,ICD9PCS
9,0491,ICD9PCS
9,0492,ICD9PCS
9,0493,ICD9PCS
9,0499,ICD9PCS
9,050,ICD9PCS
9,0521,ICD9PCS
9,0522,ICD9PCS
9,0523,ICD9PCS
9,0524,ICD9PCS
9,0525,ICD9PCS
9,0529,ICD9PCS
9,0581,ICD9PCS
9,0589,ICD9PCS
9,059,ICD9PCS
9,1761,ICD9PCS
9,8053,ICD9PCS
9,8054,ICD9PCS
9,8458,ICD9PCS
9,8694,ICD9PCS
9,8695,ICD9PCS
9,8696,ICD9PCS
9,8697,ICD9PCS
9,8698,ICD9PCS
10,062,ICD9PCS
10,0631,ICD9PCS
10,0639,ICD9PCS
10,064,ICD9PCS
10,0650,ICD9PCS
10,0651,ICD9PCS
10,0652,ICD9PCS
10,066,ICD9PCS
11,0611,ICD9PCS
11,0612,ICD9PCS
11,0613,ICD9PCS
11,0619,ICD9PCS
11,0700,ICD9PCS
11,0701,ICD9PCS
11,0702,ICD9PCS
11,0711,ICD9PCS
11,0712,ICD9PCS
11,0713,ICD9PCS
11,0714,ICD9PCS
11,0715,ICD9PCS
11,0716,ICD9PCS
11,0717,ICD9PCS
11,0719,ICD9PCS
11,0751,ICD9PCS
11,0771,ICD9PCS
11,0791,ICD9PCS
12,0601,ICD9PCS
12,0602,ICD9PCS
12,0609,ICD9PCS
12,067,ICD9PCS
12,0681,ICD9PCS
12,0689,ICD9PCS
12,0691,ICD9PCS
12,0692,ICD9PCS
12,0693,ICD9PCS
12,0694,ICD9PCS
12,0695,ICD9PCS
12,0698,ICD9PCS
12,0699,ICD9PCS
12,0721,ICD9PCS
12,0722,ICD9PCS
12,0729,ICD9PCS
12,073,ICD9PCS
12,0741,ICD9PCS
12,0742,ICD9PCS
12,0743,ICD9PCS
12,0744,ICD9PCS
12,0745,ICD9PCS
12,0749,ICD9PCS
12,0752,ICD9PCS
12,0753,ICD9PCS
12,0754,ICD9PCS
12,0759,ICD9PCS
12,0761,ICD9PCS
12,0762,ICD9PCS
12,0763,ICD9PCS
12,0764,ICD9PCS
12,0765,ICD9PCS
12,0768,ICD9PCS
12,0769,ICD9PCS
12,0772,ICD9PCS
12,0779,ICD9PCS
12,0780,ICD9PCS
12,0781,ICD9PCS
12,0782,ICD9PCS
12,0783,ICD9PCS
12,0784,ICD9PCS
12,0792,ICD9PCS
12,0793,ICD9PCS
12,0794,ICD9PCS
12,0795,ICD9PCS
12,0798,ICD9PCS
12,0799,ICD9PCS
13,1160,ICD9PCS
13,1161,ICD9PCS
13,1162,ICD9PCS
13,1163,ICD9PCS
13,1164,ICD9PCS
13,1169,ICD9PCS
14,1251,ICD9PCS
14,1252,ICD9PCS
14,1253,ICD9PCS
14,1254,ICD9PCS
14,1255,ICD9PCS
14,1259,ICD9PCS
14,1261,ICD9PCS
14,1262,ICD9PCS
14,1263,ICD9PCS
14,1264,ICD9PCS
14,1265,ICD9PCS
14,1266,ICD9PCS
14,1267,ICD9PCS
14,1269,ICD9PCS
14,1271,ICD9PCS
14,1272,ICD9PCS
14,1273,ICD9PCS
14,1274,ICD9PCS
14,1279,ICD9PCS
15,1370,ICD9PCS
15,1371,ICD9PCS
15,1372,ICD9PCS
15,1341,ICD9PCS
15,1359,ICD9PCS
15,1311,ICD9PCS
15,1319,ICD9PCS
15,132,ICD9PCS
15,133,ICD9PCS
15,1342,ICD9PCS
15,1343,ICD9PCS
15,1351,ICD9PCS
15,1361,ICD9PCS
15,1362,ICD9PCS
15,1363,ICD9PCS
15,1364,ICD9PCS
15,1365,ICD9PCS
15,1366,ICD9PCS
15,1369,ICD9PCS
15,138,ICD9PCS
15,139,ICD9PCS
15,1390,ICD9PCS
15,1391,ICD9PCS
16,1431,ICD9PCS
16,1432,ICD9PCS
16,1433,ICD9PCS
16,1434,ICD9PCS
16,1435,ICD9PCS
16,1439,ICD9PCS
