icd_code,icd_version,Description,classification
41001,9,"Acute myocardial infarction of anterolateral wall, initial episode of care",nfmi
41002,9,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",nfmi
41010,9,"Acute myocardial infarction of other anterior wall, episode of care unspecified",nfmi
41012,9,"Acute myocardial infarction of other anterior wall, subsequent episode of care",nfmi
41011,9,"Acute myocardial infarction of other anterior wall, initial episode of care",nfmi
41031,9,"Acute myocardial infarction of inferoposterior wall, initial episode of care",nfmi
41032,9,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",nfmi
41021,9,"Acute myocardial infarction of inferolateral wall, initial episode of care",nfmi
41022,9,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",nfmi
41040,9,"Acute myocardial infarction of other inferior wall, episode of care unspecified",nfmi
41042,9,"Acute myocardial infarction of other inferior wall, subsequent episode of care",nfmi
41041,9,"Acute myocardial infarction of other inferior wall, initial episode of care",nfmi
41051,9,"Acute myocardial infarction of other lateral wall, initial episode of care",nfmi
41052,9,"Acute myocardial infarction of other lateral wall, subsequent episode of care",nfmi
41061,9,"True posterior wall infarction, initial episode of care",nfmi
41062,9,"True posterior wall infarction, subsequent episode of care",nfmi
41082,9,"Acute myocardial infarction of other specified sites, subsequent episode of care",nfmi
41081,9,"Acute myocardial infarction of other specified sites, initial episode of care",nfmi
41090,9,"Acute myocardial infarction of unspecified site, episode of care unspecified",nfmi
41092,9,"Acute myocardial infarction of unspecified site, subsequent episode of care",nfmi
41091,9,"Acute myocardial infarction of unspecified site, initial episode of care",nfmi
41070,9,"Subendocardial infarction, episode of care unspecified",nfmi
41072,9,"Subendocardial infarction, subsequent episode of care",nfmi
41071,9,"Subendocardial infarction, initial episode of care",nfmi
I2109,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,nfmi
I2102,10,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,nfmi
I2101,10,ST elevation (STEMI) myocardial infarction involving left main coronary artery,nfmi
I220,10,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,nfmi
I2111,10,ST elevation (STEMI) myocardial infarction involving right coronary artery,nfmi
I2119,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,nfmi
I221,10,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,nfmi
I2129,10,ST elevation (STEMI) myocardial infarction involving other sites,nfmi
I2121,10,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,nfmi
I228,10,Subsequent ST elevation (STEMI) myocardial infarction of other sites,nfmi
I213,10,ST elevation (STEMI) myocardial infarction of unspecified site,nfmi
I229,10,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,nfmi
I214,10,Non-ST elevation (NSTEMI) myocardial infarction,nfmi
I222,10,Subsequent non-ST elevation (NSTEMI) myocardial infarction,nfmi
I21A1,10,Myocardial infarction type 2,nfmi
I21A9,10,Other myocardial infarction type,nfmi
I219,10,"Acute myocardial infarction, unspecified",nfmi
430,9,Subarachnoid hemorrhage,stroke
431,9,Intracerebral hemorrhage,stroke
4320,9,Nontraumatic extradural hemorrhage,stroke
4321,9,Subdural hemorrhage,stroke
4329,9,Unspecified intracranial hemorrhage,stroke
43301,9,Occlusion and stenosis of basilar artery with cerebral infarction,stroke
43311,9,Occlusion and stenosis of carotid artery with cerebral infarction,stroke
43321,9,Occlusion and stenosis of vertebral artery with cerebral infarction,stroke
43331,9,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,stroke
43381,9,Occlusion and stenosis of other specified precerebral artery with cerebral infarction,stroke
43391,9,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction,stroke
43401,9,Cerebral thrombosis with cerebral infarction,stroke
43411,9,Cerebral embolism with cerebral infarction,stroke
43491,9,"Cerebral artery occlusion, unspecified with cerebral infarction",stroke
436,9,"Acute, but ill-defined, cerebrovascular disease",stroke
I609,10,"Nontraumatic subarachnoid hemorrhage, unspecified",stroke
I608,10,Other nontraumatic subarachnoid hemorrhage,stroke
I606,10,Nontraumatic subarachnoid hemorrhage from other intracranial arteries,stroke
I6012,10,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,stroke
I6031,10,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,stroke
I6011,10,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,stroke
I6032,10,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,stroke
I604,10,Nontraumatic subarachnoid hemorrhage from basilar artery,stroke
I607,10,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,stroke
I6001,10,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,stroke
I6022,10,Nontraumatic subarachnoid hemorrhage from left anterior communicating artery,stroke
I6051,10,Nontraumatic subarachnoid hemorrhage from right vertebral artery,stroke
I6052,10,Nontraumatic subarachnoid hemorrhage from left vertebral artery,stroke
I6002,10,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,stroke
I6020,10,Nontraumatic subarachnoid hemorrhage from unspecified anterior communicating artery,stroke
I6010,10,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,stroke
I6021,10,Nontraumatic subarachnoid hemorrhage from right anterior communicating artery,stroke
I619,10,"Nontraumatic intracerebral hemorrhage, unspecified",stroke
I613,10,Nontraumatic intracerebral hemorrhage in brain stem,stroke
I612,10,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",stroke
I610,10,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",stroke
I618,10,Other nontraumatic intracerebral hemorrhage,stroke
I616,10,"Nontraumatic intracerebral hemorrhage, multiple localized",stroke
I611,10,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",stroke
I614,10,Nontraumatic intracerebral hemorrhage in cerebellum,stroke
I615,10,"Nontraumatic intracerebral hemorrhage, intraventricular",stroke
I621,10,Nontraumatic extradural hemorrhage,stroke
I6203,10,Nontraumatic chronic subdural hemorrhage,stroke
I6201,10,Nontraumatic acute subdural hemorrhage,stroke
I6200,10,"Nontraumatic subdural hemorrhage, unspecified",stroke
I6202,10,Nontraumatic subacute subdural hemorrhage,stroke
I629,10,"Nontraumatic intracranial hemorrhage, unspecified",stroke
I6322,10,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,stroke
I6302,10,Cerebral infarction due to thrombosis of basilar artery,stroke
I6312,10,Cerebral infarction due to embolism of basilar artery,stroke
I63239,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,stroke
I63132,10,Cerebral infarction due to embolism of left carotid artery,stroke
I63231,10,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,stroke
I63232,10,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,stroke
I63032,10,Cerebral infarction due to thrombosis of left carotid artery,stroke
I63139,10,Cerebral infarction due to embolism of unspecified carotid artery,stroke
I63131,10,Cerebral infarction due to embolism of right carotid artery,stroke
I63039,10,Cerebral infarction due to thrombosis of unspecified carotid artery,stroke
I63031,10,Cerebral infarction due to thrombosis of right carotid artery,stroke
I63219,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,stroke
