icd_code,icd_version
430,9
431,9
4320,9
4321,9
4329,9
43301,9
43311,9
43321,9
43331,9
43381,9
43391,9
43401,9
43411,9
43491,9
436,9
I609,10
I608,10
I606,10
I6012,10
I6031,10
I6011,10
I6032,10
I604,10
I607,10
I6001,10
I6022,10
I6051,10
I6052,10
I6002,10
I6020,10
I6010,10
I6021,10
I619,10
I613,10
I612,10
I610,10
I618,10
I616,10
I611,10
I614,10
I615,10
I621,10
I6203,10
I6201,10
I6200,10
I6202,10
I629,10
I6322,10
I6302,10
I6312,10
I63239,10
I63132,10
I63231,10
I63232,10
I63032,10
I63139,10
I63131,10
I63039,10
I63031,10
I63219,10
I63011,10
I63012,10
I63111,10
I63112,10
I63119,10
I63211,10
I63212,10
I6319,10
I6309,10
I6320,10
I6310,10
I6329,10
I6300,10
I63312,10
I63311,10
I636,10
I63331,10
I6330,10
I6339,10
I63341,10
I63321,10
I63332,10
I63322,10
I63349,10
I63319,10
I63342,10
I63412,10
I6340,10
I63411,10
I6349,10
I63432,10
I63431,10
I63442,10
I63441,10
I63422,10
I63421,10
I63449,10
I63439,10
I63419,10
I63429,10
I639,10
I638,10
I63512,10
I63511,10
I63532,10
I63531,10
I63522,10
I6350,10
I63521,10
I63541,10
I63542,10
I6359,10
I63549,10
I63539,10
I63529,10
I6789,10
