encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.49781178465773096,0.4174216839408408,0.49974,0.4969498669032831,0.3598361643175521,1.4242298603057861,9552,kip_m4,2026-09-10T15:15:28.901599
basic,0.1,40000,50000,0.5000192346895667,0.4680887263137747,0.49978,0.4975585495976128,0.4419146287595872,1.5832242965698242,9552,kip_m4,2026-09-10T15:15:30.702686
basic,0.3,120000,50000,0.4972566435004139,0.4585877327350003,0.4981,0.49552405818724354,0.4267758904549653,5.3622002601623535,9552,kip_m4,2026-09-10T15:15:36.282513
basic,0.5,200000,50000,0.5020942707279892,0.4796770077191808,0.50254,0.5006550218340612,0.4603862988394973,7.204220771789551,9552,kip_m4,2026-09-10T15:15:43.713204
basic,0.75,300000,50000,0.5077118248968967,0.4981939202078006,0.50544,0.5035897435897436,0.49291250050194757,5.10801887512207,9552,kip_m4,2026-09-10T15:15:49.048983
basic,1.0,400000,50000,0.509364857782315,0.49255262402035205,0.50532,0.5035446117706279,0.48203027747660926,7.676213026046753,9552,kip_m4,2026-09-10T15:15:56.944968
categorical,0.01,4000,50000,0.504659903752055,0.49586810502747813,0.50464,0.5027861476864656,0.48913785487692246,1.3319618701934814,9552,kip_m4,2026-09-10T15:15:58.492861
categorical,0.1,40000,50000,0.5003362938627024,0.463656836461126,0.49986,0.4976061136175306,0.43404409107336467,1.6910550594329834,9552,kip_m4,2026-09-10T15:16:00.398990
categorical,0.3,120000,50000,0.5062621174724213,0.5153040242827769,0.50498,0.5029049766837398,0.5283299200899491,2.4700701236724854,9552,kip_m4,2026-09-10T15:16:03.084654
categorical,0.5,200000,50000,0.5042382942049763,0.4989042362828478,0.50154,0.4995973262462753,0.4982130666987913,3.7650907039642334,9552,kip_m4,2026-09-10T15:16:07.073523
categorical,0.75,300000,50000,0.49747061872168247,0.4925903492832627,0.49736,0.4953506314207983,0.48986065935831025,4.430177450180054,9552,kip_m4,2026-09-10T15:16:11.726456
categorical,1.0,400000,50000,0.4985146648391704,0.4969986549155809,0.4989,0.4969487714790429,0.49704854836766654,9.070337772369385,9552,kip_m4,2026-09-10T15:16:21.016497
tfidf,0.01,4000,50000,0.4988028939782872,0.5240023574592673,0.49926,0.4975808781051415,0.5533871421113922,5.431462049484253,9552,kip_m4,2026-09-10T15:16:26.667523
tfidf,0.1,40000,50000,0.5031535914754275,0.27859602419051477,0.50138,0.4985501242750621,0.19331004296671084,8.355096817016602,9552,kip_m4,2026-09-10T15:16:35.240757
tfidf,0.3,120000,50000,0.5041965703768491,0.4937436315467699,0.50316,0.5012620515579096,0.48644741597397906,11.132409572601318,9552,kip_m4,2026-09-10T15:16:46.599318
tfidf,0.5,200000,50000,0.4996585044589895,0.49539803003390925,0.5,0.49803173572501114,0.49279203308838293,14.373739957809448,9552,kip_m4,2026-09-10T15:17:01.204845
tfidf,0.75,300000,50000,0.5030909777328152,0.5185270869481395,0.50052,0.4986835762227908,0.5400152592057181,24.52891492843628,9552,kip_m4,2026-09-10T15:17:25.969306
tfidf,1.0,400000,50000,0.5007621714740342,0.479895431345699,0.49864,0.49645846748229233,0.4644018792916516,26.35766077041626,9552,kip_m4,2026-09-10T15:17:52.585575
