encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.4992005086096479,0.45413162230122256,0.49636,0.49675155308958124,0.4182471551207826,3.3199775218963623,9550,kip_m6,2026-09-10T15:33:12.856997
basic,0.1,40000,50000,0.4992725304429987,0.5264588208651015,0.49816,0.4991590022545897,0.5569175484128569,5.347859144210815,9550,kip_m6,2026-09-10T15:33:18.455762
basic,0.3,120000,50000,0.4988702963397602,0.5209159720226119,0.49998,0.5008106116433308,0.5427031343581553,2.5821938514709473,9550,kip_m6,2026-09-10T15:33:21.254330
basic,0.5,200000,50000,0.5026802702840756,0.4462126600284495,0.50168,0.503233568957738,0.4007985625873428,3.686197519302368,9550,kip_m6,2026-09-10T15:33:25.160453
basic,0.75,300000,50000,0.4986073114876893,0.4813465280940748,0.49896,0.49984950767510855,0.46416450389299263,4.328285217285156,9550,kip_m6,2026-09-10T15:33:29.706695
basic,1.0,400000,50000,0.5005211392884913,0.5057280227933757,0.50038,0.5012550988390335,0.5102814933120383,5.2754576206207275,9550,kip_m6,2026-09-10T15:33:35.204300
categorical,0.01,4000,50000,0.5007096462992541,0.5219609497871035,0.50152,0.5022330491270808,0.5433020562986625,1.3867895603179932,9550,kip_m6,2026-09-10T15:33:36.806716
categorical,0.1,40000,50000,0.4979603629915761,0.5074091589816347,0.50004,0.5009142901606817,0.5140746656019165,1.759563684463501,9550,kip_m6,2026-09-10T15:33:38.783255
categorical,0.3,120000,50000,0.5015066760816305,0.5072549717313091,0.50148,0.5023295877217023,0.5122778997803953,2.545598268508911,9550,kip_m6,2026-09-10T15:33:41.545536
categorical,0.5,200000,50000,0.4974421053124213,0.5075173173803527,0.49948,0.500368631407396,0.5148732281892593,6.0991737842559814,9550,kip_m6,2026-09-10T15:33:47.860901
categorical,0.75,300000,50000,0.5004259341800268,0.49253367959746797,0.49976,0.5006806088355401,0.484647634258335,5.268365859985352,9550,kip_m6,2026-09-10T15:33:53.373520
categorical,1.0,400000,50000,0.5010249673208941,0.47916100862807365,0.50138,0.5024975900446937,0.4578957875823518,7.728480577468872,9550,kip_m6,2026-09-10T15:34:01.319551
tfidf,0.01,4000,50000,0.49380327032259586,0.42802333764671163,0.4961,0.4960534624289623,0.3764024755440208,4.44501805305481,9550,kip_m6,2026-09-10T15:34:05.978769
tfidf,0.1,40000,50000,0.501925146237474,0.5080060810677407,0.50162,0.5024605530385877,0.5136753843082451,5.9232072830200195,9550,kip_m6,2026-09-10T15:34:12.122340
tfidf,0.3,120000,50000,0.5022473720814855,0.5426182820395039,0.50214,0.5025867937372362,0.5895787582351767,11.541213035583496,9550,kip_m6,2026-09-10T15:34:23.892680
tfidf,0.5,200000,50000,0.500317350628216,0.483402361377264,0.49858,0.49944647875329984,0.4683569574765422,19.803993463516235,9550,kip_m6,2026-09-10T15:34:43.925609
tfidf,0.75,300000,50000,0.49646543094799633,0.47297268885478205,0.49866,0.49951150190958343,0.44911159912158116,20.457029104232788,9550,kip_m6,2026-09-10T15:35:04.618030
tfidf,1.0,400000,50000,0.5018857485098251,0.4996689738188384,0.50122,0.5021370967741936,0.4972249950089838,21.835381746292114,9550,kip_m6,2026-09-10T15:35:26.691902
