model,training_mode,seed,task,family,background,split,group_keys,orientation,n_pairs,win_rate,tie_rate,loss_rate,pair_accuracy,win_rate_tol1e-06,tie_rate_tol1e-06,loss_rate_tol1e-06,pair_accuracy_tol1e-06,win_rate_tol1e-10,tie_rate_tol1e-10,loss_rate_tol1e-10,pair_accuracy_tol1e-10,mean_margin,median_margin,std_margin,flattened_auc,pair_accuracy_ci_lo,pair_accuracy_ci_hi,kappa_gap,chain_r,chain_s
oracle,oracle,0,ocdet,two_hole,clean,val,orientation,1.0,1052,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,clean,val,orientation,2.0,948,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,clean,val,kappa_gap,,673,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
oracle,oracle,0,ocdet,two_hole,clean,val,kappa_gap,,511,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,
oracle,oracle,0,ocdet,two_hole,clean,val,kappa_gap,,418,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,
oracle,oracle,0,ocdet,two_hole,clean,val,kappa_gap,,262,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,,
oracle,oracle,0,ocdet,two_hole,clean,val,kappa_gap,,136,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,
oracle,oracle,0,ocdet,two_hole,clean,val,chain_r+chain_s,,53,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0
oracle,oracle,0,ocdet,two_hole,clean,val,chain_r+chain_s,,82,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0
oracle,oracle,0,ocdet,two_hole,clean,val,chain_r+chain_s,,58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,4.0
