model,train_seed,train_mode,eval_input,n_users,hr10,hr10_ci_lo,hr10_ci_hi,ndcg10,ndcg10_ci_lo,ndcg10_ci_hi,jaccard10,jaccard10_ci_lo,jaccard10_ci_hi,d_hr10_abs,d_hr10_rel,d_hr10_ci_lo,d_hr10_ci_hi,d_ndcg10_abs,d_ndcg10_rel,d_ndcg10_ci_lo,d_ndcg10_ci_hi,order_invariant,seconds,site,host,gpu,slurm_job_id,checkpoint
SASRec,32,ordered,ordered,25518,0.303198,0.297554,0.308411,0.231800,0.226993,0.236353,,,,,,,,,,,,false,5.7,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,full_shuffle_s101,25518,0.042245,0.039892,0.044478,0.021559,0.020230,0.022870,0.077722,0.075910,0.079577,-0.260953,-0.860670,-0.266480,-0.255345,-0.210241,-0.906992,-0.214951,-0.205287,false,10.6,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,full_shuffle_s102,25518,0.043264,0.040794,0.045812,0.022541,0.021157,0.024010,0.078043,0.076074,0.080052,-0.259934,-0.857309,-0.265421,-0.254249,-0.209259,-0.902758,-0.213945,-0.204386,false,15.1,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,full_shuffle_s103,25518,0.043303,0.040833,0.045889,0.022484,0.021115,0.023906,0.077978,0.076110,0.080069,-0.259895,-0.857180,-0.265462,-0.254133,-0.209316,-0.903002,-0.214095,-0.204332,false,19.6,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,keep_last_s101,25518,0.254683,0.249393,0.259623,0.179099,0.175011,0.182987,0.502924,0.499712,0.506097,-0.048515,-0.160010,-0.051846,-0.045300,-0.052700,-0.227353,-0.055157,-0.050242,false,24.1,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,keep_last_s102,25518,0.256015,0.250605,0.261149,0.179632,0.175476,0.183702,0.502606,0.499366,0.505623,-0.047182,-0.155616,-0.050436,-0.044126,-0.052168,-0.225057,-0.054585,-0.049812,false,28.6,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,keep_last_s103,25518,0.254722,0.249549,0.259661,0.178616,0.174520,0.182370,0.502566,0.499379,0.505557,-0.048476,-0.159881,-0.051767,-0.045497,-0.053184,-0.229438,-0.055625,-0.050790,false,33.1,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,early_half_s101,25518,0.303433,0.297867,0.308607,0.231800,0.227038,0.236387,0.930554,0.929171,0.931840,0.000235,0.000775,-0.000588,0.000980,0.000000,0.000001,-0.000368,0.000359,false,37.5,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,early_half_s102,25518,0.303668,0.297945,0.308959,0.231726,0.226949,0.236275,0.929491,0.928137,0.930822,0.000470,0.001551,-0.000353,0.001293,-0.000074,-0.000317,-0.000467,0.000294,false,42.0,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
SASRec,32,ordered,early_half_s103,25518,0.303982,0.298338,0.309314,0.231996,0.227193,0.236622,0.930357,0.928985,0.931692,0.000784,0.002585,0.000078,0.001528,0.000196,0.000846,-0.000114,0.000557,false,46.4,fox,gpu-17.fox,NVIDIA H200 NVL,4012645,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/SASRec_ordered_s32.pt
GRU4Rec,32,ordered,ordered,25518,0.277490,0.271729,0.282782,0.220786,0.216038,0.225273,,,,,,,,,,,,false,4.9,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,full_shuffle_s101,25518,0.029979,0.027783,0.032057,0.015125,0.013916,0.016311,0.068977,0.067342,0.070675,-0.247512,-0.891964,-0.253195,-0.241632,-0.205662,-0.931496,-0.210174,-0.201050,false,9.3,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,full_shuffle_s102,25518,0.029783,0.027745,0.031821,0.015363,0.014216,0.016499,0.068625,0.066968,0.070466,-0.247708,-0.892671,-0.253233,-0.241750,-0.205424,-0.930418,-0.210018,-0.200487,false,13.6,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,full_shuffle_s103,25518,0.030175,0.028137,0.032214,0.015423,0.014280,0.016632,0.068960,0.067225,0.070682,-0.247316,-0.891258,-0.252764,-0.241594,-0.205363,-0.930144,-0.210125,-0.200699,false,18.0,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,keep_last_s101,25518,0.102633,0.099066,0.106317,0.065877,0.063140,0.068392,0.145166,0.142976,0.147421,-0.174857,-0.630137,-0.180032,-0.169526,-0.154909,-0.701624,-0.159310,-0.150868,false,22.4,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,keep_last_s102,25518,0.101183,0.097461,0.104751,0.065968,0.063335,0.068437,0.145338,0.143231,0.147462,-0.176307,-0.635362,-0.181088,-0.171329,-0.154818,-0.701213,-0.158940,-0.150744,false,26.8,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,keep_last_s103,25518,0.101027,0.097420,0.104671,0.066392,0.063782,0.069004,0.144387,0.142310,0.146496,-0.176464,-0.635927,-0.181481,-0.171093,-0.154394,-0.699292,-0.158562,-0.150041,false,31.2,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
GRU4Rec,32,ordered,early_half_s101,25518,0.273336,0.267418,0.278589,0.215488,0.210746,0.219868,0.853951,0.851959,0.855916,-0.004154,-0.014970,-0.005369,-0.002900,-0.005298,-0.023998,-0.006014,-0.004548,false,35.5,fox,gpu-17.fox,NVIDIA H200 NVL,4012648,/fp/homes01/u01/ec-michelec/MIMICIV/checkpoints/recsys/GRU4Rec_ordered_s32.pt
