dataset_id,n,m,lag,rho_det,rho_stoch,AUC_star,F1_star
100,10,6,7,0.0903,0.3361,0.5736,0.2965
101,15,6,7,0.7854,0.6142,0.6423,0.7856
102,20,6,7,0.292,0.4168,0.6701,0.5767
103,30,6,7,0.4292,0.4717,0.6966,0.667
130,20,3,1,0.134,0.3536,0.6015,0.3847
131,20,3,3,0.1231,0.3492,0.595,0.3649
132,20,3,5,0.1128,0.3451,0.5886,0.3449
110,20,3,7,0.1013,0.3405,0.5811,0.321
133,20,3,9,0.0904,0.3362,0.5737,0.2967
134,20,3,10,0.0856,0.3342,0.5703,0.2854
120,20,6,1,0.3406,0.4362,0.6826,0.6138
121,20,6,3,0.3249,0.43,0.679,0.6026
122,20,6,5,0.3102,0.4241,0.6752,0.5914
123,20,6,9,0.2775,0.411,0.6656,0.5643
124,20,6,10,0.2712,0.4085,0.6636,0.5586
140,20,10,1,0.5429,0.5172,0.6988,0.717
141,20,10,3,0.5453,0.5181,0.6986,0.7179
142,20,10,5,0.5515,0.5206,0.6982,0.7202
112,20,10,7,0.5514,0.5206,0.6982,0.7201
143,20,10,9,0.5654,0.5262,0.6971,0.7252
144,20,10,10,0.5721,0.5288,0.6965,0.7275
